filename,requested_label,requested_image,source_file,source_page_or_description,license,notes
hero-preview-1-egg-sando.jpg,hero.preview.1,"Egg sando, konbini shelf",egg_sando_case.jpg,Wikimedia Commons: Japanese egg sandwich in a sandwich case,CC BY-SA 4.0,"Exact egg sandwich; not an actual konbini shelf, but close food-service case visual."
hero-preview-2-soba-shop.jpg,hero.preview.2,Standing soba shop / bowl,soba_bowl.jpg,Pexels: soba noodles in Hakodate / related soba bowl download,Pexels free to use,Bowl-focused match; not a standing soba storefront.
hero-preview-3-rainy-mall.jpg,hero.preview.3,Indoor mall corridor (KITTE-style),mall_corridor.jpg,Pexels: vibrant shopping mall corridor with neon lights,Pexels free to use,Indoor mall corridor; not KITTE-specific.
hero-preview-4-donki-haul.jpg,hero.preview.4,Donki aisle / 100¥ shop haul,snack_aisle.jpg,Pexels: colorful Japanese snack/convenience aisle,Pexels free to use,Generic colorful Japanese snack aisle; good Donki/100-yen-shop approximation.
receipt-1-egg-sando.jpg,receipt.thumb.1,Tight crop of egg sando,egg_sandwich_001.jpg,Wikimedia Commons: Egg Sandwich 001,CC0,Exact egg sandwich tight crop.
receipt-2-tamago-onigiri.jpg,receipt.thumb.2,Tight crop of tamago onigiri,tamago_onigiri.jpg,Wikimedia Commons: Pork and tamago onigiri 001,CC0,Exact pork/tamago onigiri tight crop.
receipt-3-cafe-au-lait.jpg,receipt.thumb.3,Cafe au lait paper carton,japanese_drink_carton.jpg,Pexels: hand holding Japanese beverage carton in dim light,Pexels free to use,Japanese paper drink carton; not verified as cafe au lait.
receipt-4-frozen-mikan.jpg,receipt.thumb.4,Frozen mikan,frost_oranges.jpg,Pexels: fresh mandarin oranges with ice frost,Pexels free to use,Frost-covered mandarins/oranges; closest free-stock match to frozen mikan.
receipt-5-plastic-salad.jpg,receipt.thumb.5,Plastic-wrapped salad,packed_salad.jpg,Pexels: packed vegetable salad in plastic container,Pexels free to use,"Exact plastic salad/container match, not Japan-specific."
list-cover-1-konbini.jpg,list.cover.1,Konbini exterior at night,lawson_rain_night.jpg,Pexels: Lawson store exterior at night/rain,Pexels free to use,Strong match.
list-cover-2-donki.jpg,list.cover.2,Donki neon storefront,donki_night.jpg,Pexels: Don Quijote Shinjuku Kabukicho at night,Pexels free to use,Strong match.
list-cover-3-drugstore.jpg,list.cover.3,Drugstore aisle,drugstore_shopfront.jpg,Pexels: Japanese drugstore shopfront,Pexels free to use,Japanese drugstore storefront/product display; not an aisle.
partner-reel-1-donki.jpg,partner.reel.1,Vertical IG/Reels still — Donki haul,donki_night.jpg,Pexels: Don Quijote Shinjuku Kabukicho at night,Pexels free to use,Vertical Donki exterior crop; not a haul flatlay.
partner-reel-2-ramen.jpg,partner.reel.2,Vertical IG/Reels still — ramen,ramen_vertical.jpg,Pexels: vertical ramen bowl at restaurant counter,Pexels free to use,Strong match.
