launch_category,jf_id,fill_type,grade,product_name_en,product_name_jp_unverified,brand_maker_unverified,retailer_or_where_found,display_strategy,copy_angle,notes
hundred_yen,JF-0001,verified,B,Can Do Random Finds,キャンドゥ,Can Do,Can Do;Rakuten,show_all,recommendation,
hundred_yen,JF-0002,verified,C,Daiso Anti-Fog Wipes (for glasses),メガネ拭き 曇り止め,Daiso,Amazon JP (third-party);Daiso (in-store likely),show_all,recommendation,
hundred_yen,JF-0003,verified,B,Daiso Bento Dividers / Onigiri Molds,おにぎり型,Daiso,Daiso;Seria,show_all,recommendation,
hundred_yen,JF-0004,verified,B,Daiso Ceramic Knife Sharpener,セラミック包丁研ぎ,Daiso,Daiso,show_all,recommendation,
hundred_yen,JF-0005,verified,A,Daiso Chopstick Rests,箸置き,Daiso,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0006,verified,A,Daiso Compression Bags,圧縮袋,Daiso,Daiso;Can Do,show_all,recommendation,
hundred_yen,JF-0007,verified,B,Daiso Furoshiki Wrapping Cloth,風呂敷,Daiso,Daiso;Seria,show_all,recommendation,
hundred_yen,JF-0008,verified,A,Daiso Phone Stands and Cable Organizers,スマホスタンド,Daiso,Daiso,show_all,recommendation,
hundred_yen,JF-0009,verified,C,Daiso Silicone Egg Cooker,シリコンエッグクッカー,Daiso,Daiso (in-store likely),show_all,recommendation,
hundred_yen,JF-0010,verified,A,Daiso Tabi Socks (Toe-Split),足袋ソックス,Daiso,Daiso,show_all,recommendation,
hundred_yen,JF-0011,verified,B,Daiso Travel Bottles,ダイソートラベルボトル,Daiso,Daiso,show_all,recommendation,
hundred_yen,JF-0012,verified,A,Daiso Washi Tape,和紙テープ,Daiso,Daiso;Seria,show_all,recommendation,
hundred_yen,JF-0013,verified,B,Seria Stationery,セリア文房具,Seria,Seria,show_all,recommendation,
hundred_yen,JF-0014,verified,B,Animal chair socks,椅子脚カバー,Daiso,Daiso,show_all,recommendation,
kitchen,JF-0015,verified,B,Bento picks,お弁当ピック,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
kitchen,JF-0016,verified,A,Bento sauce bottles,たれびん,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0017,verified,A,Cable ties / cord clips,ケーブルタイ,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0018,verified,B,Coin purse,小銭入れ,Daiso / Seria / Can Do / souvenir shops,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0019,verified,B,Compact towel / tenugui-style towel,手ぬぐい・タオル,Daiso / souvenir shops / MUJI,Daiso;MUJI;Souvenir shops,show_all,recommendation,
travel_gear,JF-0020,verified,B,Drain net / sink strainer bags,排水口ネット,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0021,verified,B,Egg timer for ramen/boiled eggs,エッグタイマー,Daiso / kitchen stores,Daiso;Tokyu Hands,show_all,recommendation,
hundred_yen,JF-0022,verified,B,Food divider sheets / baran,バラン,Daiso / Seria / Can Do,Daiso,show_all,recommendation,
hundred_yen,JF-0023,verified,A,Hobonichi Techo,ほぼ日手帳,Hobonichi,Hobonichi store;Loft;stationery stores,show_all,recommendation,
hundred_yen,JF-0024,verified,B,Kokuyo Campus notebook,キャンパスノート,Kokuyo,Loft;Hands;Itoya;konbini;bookstores,show_all,recommendation,
hundred_yen,JF-0025,verified,B,Laundry net,洗濯ネット,Daiso / Seria / Can Do,Daiso;Seria;Can Do;drugstores,show_all,recommendation,
travel_gear,JF-0026,verified,B,Mesh travel pouch,メッシュポーチ,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0027,verified,B,Microwave ramen cooker,電子レンジラーメン調理器,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0028,verified,B,Microwave rice cooker cup,電子レンジ炊飯器,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0029,verified,B,Midori MD Notebook,MDノート,Designphil / Midori,Loft;Hands;Itoya;Midori store,show_all,recommendation,
hundred_yen,JF-0030,verified,B,Milk frother,ミルクフォーマー,Daiso / Seria / Can Do,Daiso;Seria;Can Do;kitchen stores,show_all,recommendation,
hundred_yen,JF-0031,verified,B,Petit Block mini kits,プチブロック,Daiso,Daiso,show_all,recommendation,
hundred_yen,JF-0032,verified,A,Phone stand,スマホスタンド,Daiso / Seria / Can Do,Daiso;Seria;Can Do;electronics stores,show_all,recommendation,
hundred_yen,JF-0033,verified,B,Planner stickers,手帳シール,Daiso / Seria / Mind Wave / BGM,Daiso;Seria;Loft;Itoya,show_all,recommendation,
hundred_yen,JF-0034,verified,B,Plastic rain poncho,レインポンチョ,Daiso / Seria / Can Do,Daiso;Seria;Can Do;konbini,show_all,recommendation,
travel_gear,JF-0035,verified,B,Reusable shopping bag,エコバッグ,Daiso / Seria / Can Do / MUJI / konbini,Daiso;konbini;MUJI,show_all,recommendation,
kitchen,JF-0036,verified,A,Rice ball mold,おにぎり型,Daiso / Seria / Can Do,Daiso;Seria;Can Do;kitchen stores,show_all,recommendation,
travel_gear,JF-0037,verified,A,Roll-up compression bag,衣類圧縮袋,Daiso / Seria / Can Do,Daiso;Seria;Can Do;Donki,show_all,recommendation,
travel_gear,JF-0038,verified,B,Shoe bag,シューズバッグ,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0039,verified,B,Sponge holder with suction cup,スポンジホルダー,Daiso / Seria / Can Do,Daiso;Seria;Can Do,show_all,recommendation,
hundred_yen,JF-0040,verified,B,Standing rice paddle,立つしゃもじ,Daiso / kitchen brands,Daiso;supermarkets;Hands,show_all,recommendation,
hundred_yen,JF-0041,verified,B,Tiny scissors with cap,携帯はさみ,Daiso / Can Do / stationery brands,Daiso;Can Do;Loft;Hands,show_all,recommendation,
travel_gear,JF-0042,verified,A,Traveler’s Notebook refill,トラベラーズノート リフィル,Traveler’s Company,Traveler's Factory;Loft;Hands;stationery stores,show_all,recommendation,
hundred_yen,JF-0043,verified,A,Uni Jetstream pen,ジェットストリーム,Mitsubishi Pencil / uni,Loft;Hands;Itoya;Amazon JP;konbini,show_all,recommendation,
hundred_yen,JF-0044,verified,A,Washi tape,マスキングテープ,mt / Daiso / Seria / various,Daiso;Seria;Loft;Hands;Itoya,show_all,recommendation,
hundred_yen,JF-0045,verified,B,Zebra Sarasa Clip,サラサクリップ,Zebra,Loft;Hands;Itoya;stationery stores,show_all,recommendation,
travel_gear,JF-0046,verified,B,Zip storage bags,ジッパーバッグ,Daiso / Seria / Can Do,Daiso;Seria;Can Do;supermarkets,show_all,recommendation,
travel_gear,JF-0267,verified,A,Anker Prime Wall Charger,Anker 充電器,Anker,Anker Japan official; Yodobashi; Bic Camera; Amazon JP,show_all,recommendation,
drugstore,JF-0268,verified,A,Apagard Premio Toothpaste,アパガード プレミオ,Sangi,Sangi official; Tsuruha; Amazon JP; drugstores,show_all,recommendation,
skincare_beauty,JF-0269,verified,A,Bifesta Micellar Cleansing Wipes,ビフェスタ クレンジングシート,Mandom,Mandom official; drugstores; Donki,show_all,recommendation,
travel_gear,JF-0271,verified,B,Coin Sorting Wallet,コインキャッチャー,Various,Hands; Loft; Tokyu Hands; Amazon JP,show_all,recommendation,
customization,JF-0272,verified,C,Display Katana / Souvenir Samurai Sword,模造刀,Generic,Tourist shops; specialty katana shops,show_all,recommendation,
regional_food,JF-0273,verified,A,Giant Rainbow Cotton Candy,巨大わたあめ,Totti Candy Factory,Totti Candy Factory Harajuku,show_all,recommendation,
kitchen,JF-0274,verified,A,Iwatani Aburiya Portable Grill,炉ばた焼器 炙りや,Iwatani,Iwatani official; Donki; Yodobashi; Bic Camera; Rakuten,show_all,recommendation,
stationery,JF-0275,verified,B,Kokuyo Campus Portable Book Clip,コクヨ キャンパス ポータブルブッククリップ,Kokuyo,Kokuyo official; Loft; Hands,show_all,recommendation,
drugstore,JF-0276,verified,A,Panshiron Cure,パンシロンキュア,Rohto,Rohto Pharma; drugstores; Welcia; Yodobashi,show_all,recommendation,
stationery,JF-0277,verified,A,Pilot Juice+ Gel Pen,パイロット ジュースプラス,Pilot,Pilot official; Loft; Hands; Itoya; Amazon JP,show_all,recommendation,
stationery,JF-0278,verified,B,Plus Picofriends Box Cutter,ピコフレンズ カッター,Plus,Plus official; Hands; Loft; Amazon JP,show_all,recommendation,
drugstore,JF-0279,verified,B,Rohto V5a,ロートV5a,Rohto,Rohto official; drugstores; Welcia,show_all,recommendation,
stationery,JF-0280,verified,A,Seed Kadoloop Eraser,シード カドループ,Seed,Seed official; Loft; Hands; Amazon JP,show_all,recommendation,
travel_gear,JF-0281,verified,A,Snow Peak Titanium Spork,チタンスポーク,Snow Peak,Snow Peak official; outdoor shops; Amazon JP,show_all,recommendation,
travel_gear,JF-0284,verified,B,Coin Laundry Detergent Sheets,シート洗剤,Various,Drugstores; konbini; Donki,show_all,recommendation,
travel_gear,JF-0285,verified,A,Compression Socks,着圧ソックス,"Medilex, others",Medilex; drugstores; Donki,show_all,recommendation,
travel_gear,JF-0286,verified,B,Grancence Shoe Deodorizer,グランズレメディ系 / GRANCENCE,Grancence,Drugstores; Donki; Amazon JP,show_all,recommendation,
travel_gear,JF-0287,verified,A,Muji Aroma Stones / Aroma Diffuser,無印良品 アロマ,Muji,Muji official; Muji stores,show_all,recommendation,
travel_gear,JF-0288,verified,A,Muji Packing Cubes,無印良品 トラベルポーチ,Muji,Muji official; Muji stores,show_all,recommendation,
travel_gear,JF-0289,verified,A,Muji Travel Bottle Set,無印良品 ボトルセット,Muji,Muji official; Muji stores,show_all,recommendation,
travel_gear,JF-0290,verified,A,Muji Travel Neck Pillow,無印良品 ネックピロー,Muji,Muji official; Muji stores,show_all,recommendation,
travel_gear,JF-0291,verified,A,Stain Remover Pen (Drycare),シミ取りペン,Various,Drycare; drugstores; Loft; Donki,show_all,recommendation,
customization,JF-0292,verified,B,Custom embroidered towel/handkerchief,刺繍タオル,Department stores / souvenir shops,Dept stores; specialty shops,show_all,recommendation,
customization,JF-0293,verified,A,Custom photo sticker / purikura print,プリクラ,Purikura machine makers,Arcades; malls; Taito Station; Gigo,show_all,recommendation,
customization,JF-0294,verified,A,Eki stamp notebook,駅スタンプ帳,JR/station shops / generic notebooks,JR station shops; Loft; Hands,show_all,recommendation,
customization,JF-0295,verified,A,Engraved chopsticks,名入れ箸,Various,Hyozaemon; Hashikura Matsukan; specialty shops,show_all,recommendation,
customization,JF-0296,verified,A,Goshuincho temple/shrine stamp book,御朱印帳,Temples/shrines / stationery makers,Shrines; temples; Loft; bookstores,show_all,recommendation,
customization,JF-0297,verified,A,Hanko name stamp,判子・印鑑,Hanko shops / vending machines,Hankoya; Donki vending; Tokyu Hands,show_all,recommendation,
customization,JF-0298,verified,A,Itoya custom notebook / paper goods,カスタムノート,Itoya,Itoya Ginza flagship; select stationery shops,show_all,recommendation,
customization,JF-0299,verified,A,Kappabashi engraved kitchen knife,名入れ包丁,Various knife makers,Kappabashi knife shops; Tsubaya; Tower Knives,show_all,recommendation,
customization,JF-0300,verified,A,Kimono/yukata fabric pouch,着物生地ポーチ,Various makers,Souvenir shops; craft markets; dept stores,show_all,recommendation,
customization,JF-0301,verified,A,MUJI stamp-station notebook,無印良品 スタンプ,MUJI,Select MUJI stores with stamp stations,show_all,recommendation,
customization,JF-0302,verified,A,Maneki-neko painting experience,招き猫絵付け体験,Various craft studios,"Asakusa, Kyoto craft workshops; airbnb-experiences",show_all,recommendation,
customization,JF-0303,verified,A,Omamori charm,お守り,Shrines/temples,Shrines and temples nationwide,show_all,recommendation,
customization,JF-0304,verified,A,Plastic food sample workshop item,食品サンプル体験,Sample food makers,Kappabashi sample workshops; Maizuru; Ganso,show_all,recommendation,
customization,JF-0305,verified,A,Traveler’s Factory store-limited charms/refills,トラベラーズファクトリー限定,Traveler’s Company,Traveler's Factory Nakameguro/Narita/Kyoto,show_all,recommendation,
customization,JF-0306,verified,A,UNIQLO UTme! custom T-shirt/tote,UTme!,UNIQLO,Select UNIQLO stores with UTme service,show_all,recommendation,
regional_food,JF-0307,verified,B,"Aomori Apple Products (Juice, Pie, Apple Senbei)",青森りんご,Various,Aomori;dept stores,show_all,recommendation,
regional_food,JF-0308,verified,B,Awamori (Okinawan Distilled Spirit),泡盛,Various Okinawa distilleries,Okinawa;liquor shops,show_all,recommendation,
regional_food,JF-0309,verified,B,Hakata Mentaiko,博多明太子,Fukuya / Yamaya,Fukuoka airport;dept store food halls,show_all,recommendation,
regional_food,JF-0310,verified,B,Hiroshima Momiji Manju,もみじ饅頭,Nishiki-do / Yamada-ya / others,Hiroshima;Miyajima,show_all,recommendation,
regional_food,JF-0311,verified,B,Hokkaido Caramel (Hanabatake Bokujo),花畑牧場,Hanabatake Bokujo,Hokkaido;airports,show_all,recommendation,
regional_food,JF-0312,verified,B,Hokkaido Letao Cheese Snacks,ルタオ,LeTAO,Hokkaido;dept stores,show_all,recommendation,
regional_food,JF-0313,verified,B,Kanazawa Gold Leaf Items (Kinpaku),金箔,Hakuichi,Kanazawa;dept stores,show_all,recommendation,
regional_food,JF-0314,verified,B,"Local Sake (Junmai Daiginjo from Niigata, Hyogo, Akita)",日本酒,Various breweries,Liquor stores;breweries;dept stores,show_all,recommendation,
regional_food,JF-0315,verified,B,Nagoya Uiro,ういろう,Aoyagi Sohonke / Ohsu Uiro,Nagoya station;shops,show_all,recommendation,
regional_food,JF-0316,verified,B,Okinawan Beni-Imo Tart,紅芋タルト,Okashi Goten,Okinawa;airports,show_all,recommendation,
regional_food,JF-0317,verified,B,Okinawan Chinsuko Cookies,ちんすこう,Various,Okinawa;airports,show_all,recommendation,
regional_food,JF-0318,verified,B,Osaka 551 Horai Pork Buns,551蓬莱 豚まん,551 Horai,Osaka shops;Shin-Osaka station,show_all,recommendation,
regional_food,JF-0319,verified,B,Sapporo Soup Curry Mix,スープカレー,Various Sapporo makers,Hokkaido;supermarkets,show_all,recommendation,
regional_food,JF-0320,verified,B,Shizuoka Green Tea,静岡茶,Various Shizuoka producers,Shizuoka;dept stores,show_all,recommendation,
regional_food,JF-0321,verified,B,Uji Matcha (Kyoto),宇治抹茶,"Ippodo, Marukyu Koyamaen, Itohkyuemon",Kyoto Uji district,show_all,recommendation,
regional_food,JF-0322,verified,B,Yamanashi Wine / Grape Juice,ぶどう / 山梨ワイン,Various Yamanashi vineyards,Yamanashi;dept stores,show_all,recommendation,
regional_food,JF-0323,verified,B,551 Horai pork buns,551蓬莱 豚まん,551 Horai,Osaka/Kansai stations and stores,show_all,recommendation,
regional_food,JF-0324,verified,B,Akafuku mochi,赤福餅,Akafuku,Ise;Nagoya;Osaka;airports/stations,show_all,recommendation,
regional_food,JF-0325,verified,B,Beni imo tart,紅いもタルト,Okashi Goten / various,Okinawa;airports;souvenir shops,show_all,recommendation,
regional_food,JF-0326,verified,B,Fresh mochi / daifuku,大福・餅菓子,Various,Department food halls;konbini;wagashi shops,show_all,recommendation,
regional_food,JF-0327,verified,B,Hakata Torimon,博多通りもん,Meigetsudo,Fukuoka/Hakata;airports/stations,show_all,recommendation,
regional_food,JF-0328,verified,B,Hojicha tea bags,ほうじ茶ティーバッグ,Various tea makers,Tea shops;supermarkets;Muji,show_all,recommendation,
regional_food,JF-0329,verified,B,Jaga Pokkuru,じゃがポックル,Calbee Potato Farm,Hokkaido;airports;souvenir shops,show_all,recommendation,
regional_food,JF-0330,verified,B,Japanese curry roux blocks,カレールウ,House / S&B / Glico,Supermarkets;Donki,show_all,recommendation,
regional_food,JF-0331,verified,B,Kaminari Okoshi,雷おこし,Tokiwado / various,Asakusa;Tokyo souvenir shops,show_all,recommendation,
regional_food,JF-0332,verified,B,Kayanoya dashi packets,茅乃舎だし,Kayanoya,Kayanoya shops;dept stores;airports,show_all,recommendation,
regional_food,JF-0333,verified,B,Kibi dango,きびだんご,Various Okayama makers,Okayama stations/souvenir shops,show_all,recommendation,
regional_food,JF-0334,verified,B,LeTAO Double Fromage,ドゥーブルフロマージュ,LeTAO,Hokkaido/Otaru;airports;online,show_all,recommendation,
regional_food,JF-0335,verified,B,Matcha powder,抹茶,Ippodo / Marukyu Koyamaen / various,Tea shops;dept stores;Kyoto/Uji,show_all,recommendation,
regional_food,JF-0336,verified,B,Melonpan from bakery/konbini,メロンパン,Konbini / bakeries,Konbini;bakeries,show_all,recommendation,
regional_food,JF-0337,verified,B,Momiji Manju,もみじ饅頭,Various Hiroshima makers,Hiroshima;Miyajima;airports/stations,show_all,recommendation,
regional_food,JF-0338,verified,B,Nagasaki Castella,長崎カステラ,Fukusaya / Bunmeido / various,Nagasaki;dept stores;airports,show_all,recommendation,
regional_food,JF-0339,verified,B,New York Perfect Cheese,ニューヨークパーフェクトチーズ,Tokyo Milk Cheese Factory-related retail | New York Perfect Cheese,Tokyo Station / Haneda,show_all,recommendation,
regional_food,JF-0340,verified,B,Ningyo-yaki,人形焼,Various,Asakusa;Ningyocho;Tokyo souvenir,show_all,recommendation,
regional_food,JF-0341,verified,B,Okinawa chinsuko cookies,ちんすこう,Various,Okinawa;airports;souvenir shops,show_all,recommendation,
regional_food,JF-0342,verified,B,Premium canned coffee variety,缶コーヒー,Boss / Georgia / Wonda / UCC,Konbini;vending machines;Donki,show_all,recommendation,
regional_food,JF-0343,verified,B,Regional ramen packs,ご当地ラーメン,Various,Donki;supermarkets;stations;airports,show_all,recommendation,
regional_food,JF-0344,verified,B,Rikuro Ojisan cheesecake,りくろーおじさんのチーズケーキ,Rikuro Ojisan,Osaka stores,show_all,recommendation,
regional_food,JF-0345,verified,B,S&B tube condiments,チューブ調味料,S&B Foods,Supermarkets;Donki;drugstores,show_all,recommendation,
regional_food,JF-0346,verified,B,Sakura tea / salted sakura packets,桜茶・桜の塩漬け,Various,Dept stores;tea shops;seasonal shops,show_all,recommendation,
regional_food,JF-0347,verified,B,Tokyo Campanella,東京カンパネラ,Tokyo Campanella,Tokyo stations;airports,show_all,recommendation,
regional_food,JF-0348,verified,B,Tsukemono pickles pack,漬物,Various,Kyoto/Nara/dept food halls;supermarkets,show_all,recommendation,
regional_food,JF-0349,verified,B,Uji matcha sweets,宇治抹茶菓子,Tsujiri / Itohkyuemon / various,Kyoto;Uji;dept stores,show_all,recommendation,
regional_food,JF-0350,verified,B,Umeboshi gift pack,梅干し,Various Wakayama brands,Supermarkets;dept stores;regional shops,show_all,recommendation,
regional_food,JF-0351,verified,B,Yatsuhashi / Nama Yatsuhashi,八ッ橋・生八ッ橋,Izutsu / Shogoin / various,Kyoto souvenir shops;stations,show_all,recommendation,
regional_food,JF-0352,verified,B,Yoku Moku Cigare,シガール,Yoku Moku,Dept stores;airports;souvenir shops,show_all,recommendation,
regional_food,JF-0353,verified,B,Yubari melon jelly,夕張メロンゼリー,Hori / various,Hokkaido;airports;souvenir shops,show_all,recommendation,
regional_food,JF-0354,verified,B,Zunda mochi sweets,ずんだ餅,Various Sendai makers,Sendai/Miyagi stations;souvenir shops,show_all,recommendation,
skincare_beauty,JF-0355,verified,B,Apostroph / Yojiya Aburatorigami (Oil Blotting Papers),あぶらとり紙,Yojiya / various,Yojiya stores in Kyoto;drugstores,show_all,recommendation,
skincare_beauty,JF-0356,verified,B,Bifesta Micellar Water (Sebamed-like),ビフェスタ,Mandom,All drugstores,show_all,recommendation,
skincare_beauty,JF-0357,verified,B,Canmake Cosmetics,キャンメイク,Ida Laboratories,All drugstores;Plaza;Tokyu Hands,show_all,recommendation,
skincare_beauty,JF-0358,verified,B,Cezanne Cosmetics,セザンヌ,Cezanne Keshohin,All drugstores,show_all,recommendation,
skincare_beauty,JF-0359,verified,B,Curel Intensive Moisture Lotion,キュレル,Kao,All drugstores,show_all,recommendation,
skincare_beauty,JF-0360,verified,B,DHC Deep Cleansing Oil,DHC ディープクレンジングオイル,DHC,DHC stores;drugstores,show_all,recommendation,
